"id_short"	"id"	"family"	"given"	"other_family_names"	"other_given_names"	"birth"	"death"	"parl_period_start"	"parl_period_end"	"party"	"party_ids"	"label"	"gender"	"role_label"	"group_label"
911570	"http://ldf.fi/semparl/people/p911570"	"Svento"	"Reinhold"	"Sventorzetski"	"Reinhold Konstantin"	1881-01-01	1973-01-01	1945-04-17	1946-03-26	"SKDL"	"http://ldf.fi/semparl/groups/Q585735"	"Svento, Reinhold (1881-1973)"	"Male"	"ministeri ulkoasiainministeriössä"	"Paasikiven III hallitus"
911570	"http://ldf.fi/semparl/people/p911570"	"Svento"	"Reinhold"	"Sventorzetski"	"Reinhold Konstantin"	1881-01-01	1973-01-01	1946-03-26	1948-04-30	"SKDL"	"http://ldf.fi/semparl/groups/Q585735"	"Svento, Reinhold (1881-1973)"	"Male"	"ministeri ulkoasiainministeriössä"	"Pekkalan hallitus"
911571	"http://ldf.fi/semparl/people/p911571"	"Svinhufvud"	"P.E."		"Pehr Evind"	1861-01-01	1944-01-01	1907-05-22	1917-10-31	"Nuorsuomalainen Puolue"	"http://ldf.fi/semparl/groups/Q1713433"	"Svinhufvud, P.E. (1861-1944)"	"Male"	"edustaja"	
911571	"http://ldf.fi/semparl/people/p911571"	"Svinhufvud"	"P.E."		"Pehr Evind"	1861-01-01	1944-01-01	1917-11-27	1918-05-27	"Nuorsuomalainen Puolue"	"http://ldf.fi/semparl/groups/Q1713433"	"Svinhufvud, P.E. (1861-1944)"	"Male"	"senaatin puheenjohtaja"	"Svinhufvudin hallitus"
911571	"http://ldf.fi/semparl/people/p911571"	"Svinhufvud"	"P.E."		"Pehr Evind"	1861-01-01	1944-01-01	1930-07-04	1931-02-18	"Nuorsuomalainen Puolue"	"http://ldf.fi/semparl/groups/Q1713433"	"Svinhufvud, P.E. (1861-1944)"	"Male"	"pääministeri"	"Svinhufvudin II hallitus"
911571	"http://ldf.fi/semparl/people/p911571"	"Svinhufvud"	"P.E."		"Pehr Evind"	1861-01-01	1944-01-01	1930-10-21	1931-02-16	"Nuorsuomalainen Puolue"	"http://ldf.fi/semparl/groups/Q1713433"	"Svinhufvud, P.E. (1861-1944)"	"Male"	"edustaja"	
911572	"http://ldf.fi/semparl/people/p911572"	"Svinhufvud"	"Veikko"		"Veikko Eivind"	1908-01-01	1969-01-01	1958-07-22	1966-04-04	"Kesk."	"http://ldf.fi/semparl/groups/Q506591"	"Svinhufvud, Veikko (1908-1969)"	"Male"	"edustaja"	
910164	"http://ldf.fi/semparl/people/p910164"	"Syrjä"	"Eino"		"Eino Kalervo"	1928-01-01	2002-01-01	1970-03-23	1972-01-21	"SMP"	"http://ldf.fi/semparl/groups/Q1854411"	"Syrjä, Eino (1928-2002)"	"Male"	"edustaja"	
911573	"http://ldf.fi/semparl/people/p911573"	"Syrjälä-Eskola"	"Helena"	"Syrjälä"		1883-01-01	1966-01-01	1936-09-01	1939-08-31	"Kansallinen Edistyspuolue"	"http://ldf.fi/semparl/groups/Q1191102"	"Syrjälä-Eskola, Helena (1883-1966)"	"Female"	"edustaja"	
911573	"http://ldf.fi/semparl/people/p911573"	"Syrjälä-Eskola"	"Helena"	"Syrjälä"		1883-01-01	1966-01-01	1940-10-15	1945-04-05	"Kansallinen Edistyspuolue"	"http://ldf.fi/semparl/groups/Q1191102"	"Syrjälä-Eskola, Helena (1883-1966)"	"Female"	"edustaja"	
