id__short	id	family	given	other_family_names	other_given_names	label	gender	birth	death	role_label	group_label	group_id	group_class	parl_period_start	parl_period_end	party	party_ids
910344	http://ldf.fi/semparl/people/p910344	Erkkilä	Eeli		Eeli Johannes	Erkkilä, Eeli (1909-1963)	Male	1909-01-01	1963-12-31	ministeri kulkulaitosten ja yleisten töiden ministeriössä	Miettusen hallitus	http://ldf.fi/semparl/groups/Miettunen	http://ldf.fi/schema/semparl/Government	1961-07-14	1962-02-25	Kesk.	http://ldf.fi/semparl/groups/Q506591
910344	http://ldf.fi/semparl/people/p910344	Erkkilä	Eeli		Eeli Johannes	Erkkilä, Eeli (1909-1963)	Male	1909-01-01	1963-12-31	kulkulaitosten ja yleisten töiden ministeri	Miettusen hallitus	http://ldf.fi/semparl/groups/Miettunen	http://ldf.fi/schema/semparl/Government	1962-02-26	1962-04-12	Kesk.	http://ldf.fi/semparl/groups/Q506591
910344	http://ldf.fi/semparl/people/p910344	Erkkilä	Eeli		Eeli Johannes	Erkkilä, Eeli (1909-1963)	Male	1909-01-01	1963-12-31	sisäasiainministeri	Karjalaisen hallitus	http://ldf.fi/semparl/groups/Karjalainen	http://ldf.fi/schema/semparl/Government	1962-04-13	1963-02-08	Kesk.	http://ldf.fi/semparl/groups/Q506591
910345	http://ldf.fi/semparl/people/p910345	Erkko	Eero	Erakkala; Erko		Erkko, Eero (1860-1927)	Male	1860-01-01	1927-12-31	jäsen	Nuorsuomalainen puolue (eduskuntaryhmä) (1911-1914)	http://ldf.fi/semparl/groups/g1077939845685581061	http://ldf.fi/semparl/groups/pg11	1907-05-22	1918-12-07	Nuorsuomalainen Puolue (1894-1918)	http://ldf.fi/semparl/groups/Q1713433
910345	http://ldf.fi/semparl/people/p910345	Erkko	Eero	Erakkala; Erko		Erkko, Eero (1860-1927)	Male	1860-01-01	1927-12-31	sosiaaliministeri	Ingmanin hallitus	http://ldf.fi/semparl/groups/Ingman	http://ldf.fi/schema/semparl/Government	1918-11-27	1919-04-17	Nuorsuomalainen Puolue (1894-1918)	http://ldf.fi/semparl/groups/Q1713433
910345	http://ldf.fi/semparl/people/p910345	Erkko	Eero	Erakkala; Erko		Erkko, Eero (1860-1927)	Male	1860-01-01	1927-12-31	jäsen	Kansallinen edistyspuolue (eduskuntaryhmä) (1917-1919)	http://ldf.fi/semparl/groups/g4064473855444662023	http://ldf.fi/semparl/groups/pg12	1918-12-08	1919-03-31	Kansallinen Edistyspuolue	http://ldf.fi/semparl/groups/Q1191102
910345	http://ldf.fi/semparl/people/p910345	Erkko	Eero	Erakkala; Erko		Erkko, Eero (1860-1927)	Male	1860-01-01	1927-12-31	kulkulaitosten ja yleisten töiden ministeri	Castren K.:n hallitus	http://ldf.fi/semparl/groups/Castren_K	http://ldf.fi/schema/semparl/Government	1919-04-17	1919-08-15	Nuorsuomalainen Puolue (1894-1918)	http://ldf.fi/semparl/groups/Q1713433
910345	http://ldf.fi/semparl/people/p910345	Erkko	Eero	Erakkala; Erko		Erkko, Eero (1860-1927)	Male	1860-01-01	1927-12-31	kauppa- ja teollisuusministeri	Vennolan hallitus	http://ldf.fi/semparl/groups/Vennola	http://ldf.fi/schema/semparl/Government	1919-08-15	1920-03-15	Nuorsuomalainen Puolue (1894-1918)	http://ldf.fi/semparl/groups/Q1713433
910346	http://ldf.fi/semparl/people/p910346	Erkko	Eljas		Juho Eljas	Erkko, Eljas (1895-1965)	Male	1895-01-01	1965-12-31	salkuton ministeri	Sunilan II hallitus	http://ldf.fi/semparl/groups/Sunila_II	http://ldf.fi/schema/semparl/Government	1932-10-20	1932-11-25	Kansallinen Edistyspuolue	http://ldf.fi/semparl/groups/Q1191102
910346	http://ldf.fi/semparl/people/p910346	Erkko	Eljas		Juho Eljas	Erkko, Eljas (1895-1965)	Male	1895-01-01	1965-12-31	apulaissisäasiainministeri	Sunilan II hallitus	http://ldf.fi/semparl/groups/Sunila_II	http://ldf.fi/schema/semparl/Government	1932-11-25	1932-12-14	Kansallinen Edistyspuolue	http://ldf.fi/semparl/groups/Q1191102
